item_nm,cost,item_dtl_dv,tier,dmg,dfs,cri,con,accuracy_rate,point_rate,weight,speed,ctype(ºÐ·ù),stype1(¿ø±ÙºÎÀ§),stype2(¼ºº°),clyn,order,img_src,illegal,size,_id
Hammerli ½ºÆ÷Ã÷±ÇÃÑ,500,±ÇÃÑ,1,20,0,0,0,0.8,0.95,28,48,1,1,1,N,103000,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/115.gif,N,,5b35915fa844441bf88b26ad
Hammerli ½ºÆ÷Ã÷±â°üÃÑ,1500,±â°üÃÑ,1,4,0,0,0,0.65,0.95,28,300,1,1,1,N,103001,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/115.gif,N,,5b35915fa844441bf88b26ae
COLT MK4(ÄÝÆ®),3800,±ÇÃÑ,1,30,0,0,0,0.6,0.75,28,48,1,1,1,N,103002,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/115.gif,N,,5b35915fa844441bf88b26af
H&K SP89,7800,±â°üÃÑ,1,9,0,0,0,0.55,0.45,18,240,1,1,1,N,103003,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/115.gif,N,,5b35915fa844441bf88b26b0
FAMAS(ÆÄ¸¶½º),21000,±â°üÃÑ,2,9,0,0,0,0.6,0.65,26,300,1,1,1,N,103004,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/118.gif,N,,5b35915fa844441bf88b26b1
56½Ä ¼ÒÃÑ,30000,µ¹°Ý¼ÒÃÑ,2,18,0,0,0,0.43,0.35,33,200,1,1,1,N,103005,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4026.gif,N,,5b35915fa844441bf88b26b2
Benelli M3(º£³Ú¸®),34000,¼¦°Ç,2,40,0,0,0,0.38,0.25,40,29,1,1,1,N,103006,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4032.gif,N,,5b35915fa844441bf88b26b3
S&W Model 10/64,35000,±ÇÃÑ,2,42,0,0,0,0.55,0.65,14,70,1,1,1,N,103007,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/103.gif,N,,5b35915fa844441bf88b26b4
FAMAS SV,43000,±â°üÃÑ,2,11,0,0,0,0.55,0.6,28,300,1,1,1,N,103008,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/118.gif,N,,5b35915fa844441bf88b26b5
56-1½Ä ¼ÒÃÑ,52000,µ¹°Ý¼ÒÃÑ,2,23,0,0,0,0.4,0.35,35,200,1,1,1,N,103009,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/124.gif,N,,5b35915fa844441bf88b26b6
Styer SPP 9mm,65000,±â°üÃÑ,2,13,0,0,0,0.45,0.6,20,300,1,1,1,N,103010,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4030.gif,N,,5b35915fa844441bf88b26b7
M16A1,98000,µ¹°Ý¼ÒÃÑ,2,22,0,0,0,0.5,0.5,40,240,1,1,1,N,103011,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/139.gif,N,,5b35915fa844441bf88b26b8
SPAS-11(½ºÆÄ½º),120000,¼¦°Ç,3,61,0,0,0,0.33,0.3,45,38,1,1,1,N,103012,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/127.gif,N,,5b35915fa844441bf88b26b9
MP5K,155000,±â°üÃÑ,3,19,0,0,0,0.45,0.6,25,300,1,1,1,N,103013,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4029.gif,N,,5b35915fa844441bf88b26ba
AK-47,250000,µ¹°Ý¼ÒÃÑ,3,38,0,0,0,0.35,0.35,45,200,1,1,1,N,103014,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4013.gif,N,,5b35915fa844441bf88b26bb
BERETTA(º£·¹Å¸),380000,±ÇÃÑ,3,90,0,0,0,0.5,0.65,13,92,1,1,1,N,103015,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/244.gif,N,,5b35915fa844441bf88b26bc
