item_nm,cost,item_dtl_dv,tier,dmg,dfs,cri,con,accuracy_rate,point_rate,weight,speed,ctype(분류),stype1(원근부위),stype2(성별),clyn,order,img_src,illegal,size
ChainSaw Edge(크리티컬용),0,도검,8,42430,0,66,0,0,0,0,0,1,2,1,N,102000,,Y,소형
Armament Axe,0,도끼,8,41262,0,44,0,0,0,0,0,1,2,1,N,102001,,Y,중형
Western Blade,0,도검,9,39584,0,0,0,0,0,0,0,1,2,1,N,102002,,Y,중형
Western Blade/Fire,0,도검,9,32655,0,0,0,0,0,0,0,1,2,1,N,102003,,Y,중형
Armament Axe,0,도끼,9,54205,0,0,0,0,0,0,0,1,2,1,N,102004,,Y,중형
Moon scythe,0,미늘창,9,8139,0,30,0,0,0,0,0,1,2,1,N,102005,,Y,중형
월아,0,장창,9,22932,0,0,0,0,0,0,0,1,2,1,N,102006,,Y,중형
Deathly Blade Ignition,0,도검,10,54152,0,22,0,0,0,0,0,1,2,1,N,102007,,Y,중형
Brilliance Edge,0,도검,10,55478,0,20,0,0,0,0,0,1,2,1,N,102008,,Y,중형
Lightning Sword,0,도검,10,52378,0,50,0,0,0,0,0,1,2,1,N,102009,,Y,중형
Death Bloody Axe,0,도끼,10,68008,0,23,0,0,0,0,0,1,2,1,N,102010,,Y,중형
Giga Metal HeavyAxe,0,도끼,10,55186,0,23,0,0,0,0,0,1,2,1,N,102011,,Y,대형
Battle Crasher,0,둔기,10,61572,0,10,0,0,0,0,0,1,2,1,N,102012,,Y,대형
Axis T halberd,0,미늘창,10,14628,0,18,0,0,0,0,0,1,2,1,N,102013,,Y,중형
Blue Genocide,0,미늘창,10,11914,0,24,0,0,0,0,0,1,2,1,N,102014,,Y,중형
Gungnir,0,장창,10,20317,0,30,0,0,0,0,0,1,2,1,N,102015,,Y,중형
Zephyr,0,장창,10,25184,0,0,0,0,0,0,0,1,2,1,N,102016,,Y,중형
Eraser HMZ Model560,0,지원화기,8,3212,0,8,0,0,0,0,0,1,1,1,N,104000,,Y,대형
Triple Barrel,0,샷건,9,6023,0,0,0,0,0,0,0,1,1,1,N,104001,,Y,중형
Musketeer,0,샷건,9,50675,0,30,0,0,0,0,0,1,1,1,N,104002,,Y,중형
Gyrojet W.I.T.O Custom,0,저격소총,9,50675,0,20,0,0,0,0,0,1,1,1,N,104003,,Y,중형
Rain Shooter,0,지원화기,9,5588,0,0,0,0,0,0,0,1,1,1,N,104004,,Y,중형
Desert Fox,0,돌격소총,10,2171,0,13,0,0,0,0,0,1,1,1,N,104005,,Y,중형
Ravenous,0,돌격소총,10,2171,0,13,0,0,0,0,0,1,1,1,N,104006,,Y,중형
Vulture J Shotgun,0,샷건,10,7687,0,16,0,0,0,0,0,1,1,1,N,104007,,Y,중형
Eagle Sniper,0,저격소총,10,54953,0,20,0,0,0,0,0,1,1,1,N,104008,,Y,대형
Burster Vulcan,0,샷건,10,7295,0,4,0,0,0,0,0,1,1,1,N,104009,,Y,중형
Acceler P-47 Custom,0,지원화기,10,5820,0,8,0,0,0,0,0,1,1,1,N,104010,/resource/img/CB055.gif,Y,중형
The Devourer,0,중화기,10,2550,0,10,0,0,0,0,0,1,1,1,N,104011,/resource/img/CB056.gif,Y,중형
Dragon's Roar,0,중화기,10,1866,0,13,0,0,0,0,0,1,1,1,N,104012,,Y,중형
RAILGUN - P/TYPE(Replica),0,특수화기,10,1962,0,20,0,0,0,0,0,1,1,1,N,104013,,Y,중형
RAILGUN - Red/TYPE,0,특수화기,10,1440,0,10,0,0,0,0,0,1,1,1,N,104014,,Y,중형
Laser Blaster ,0,특수화기,10,3353,0,15,0,0,0,0,0,1,1,1,N,104015,,Y,중형
